"ID","date","latitude","longitude","eunis"
699,2010-06-26,46.4908,33.858017,"X36"
700,2010-06-26,46.491,33.858117,"X36"
701,2010-06-26,46.491133,33.858267,"X36"
13,2009-06-06,46.4913,34.024783,"R1B"
29,2009-06-09,46.492033,33.98545,"R1B"
35,2009-06-14,46.49217,33.97795,"R1B"
30,2009-06-09,46.492267,33.985517,"R1B"
702,2010-06-26,46.492317,33.858983,"X36"
36,2009-06-14,46.492386,33.977382,"R1B"
703,2010-06-26,46.49255,33.859017,"X36"
34,2009-06-14,46.492583,33.977933,"R1B"
32,2009-06-09,46.492667,33.98215,"R1B"
725,2010-07-03,46.49285,33.861867,"X36"
724,2010-07-03,46.492983,33.861467,"X36"
726,2010-07-03,46.49305,33.862117,"X36"
723,2010-07-03,46.493167,33.86115,"X36"
704,2010-06-26,46.493183,33.859517,"X36"
727,2010-07-03,46.493283,33.86195,"X36"
722,2010-07-03,46.493367,33.860633,"X36"
705,2010-06-26,46.493583,33.859583,"X36"
738,2010-07-07,46.493667,33.853567,"X36"
728,2010-07-07,46.493667,33.860017,"X36"
729,2010-07-07,46.493717,33.859117,"X36"
706,2010-06-26,46.49385,33.860367,"X36"
707,2010-06-26,46.493883,33.860683,"X36"
730,2010-07-07,46.4939,33.858017,"X36"
731,2010-07-07,46.494,33.857167,"X36"
737,2010-07-07,46.494017,33.853767,"X36"
732,2010-07-07,46.494167,33.856517,"X36"
708,2010-06-26,46.4943,33.86065,"X36"
736,2010-07-07,46.494333,33.853933,"X36"
733,2010-07-07,46.49435,33.8558,"X36"
734,2010-07-07,46.49445,33.855367,"X36"
735,2010-07-07,46.494667,33.854267,"X36"
709,2010-06-26,46.494967,33.86425,"X36"
710,2010-06-26,46.495183,33.864867,"X36"
711,2010-06-26,46.49525,33.865433,"X36"
778,2010-07-25,46.49685,33.8636,"X36"
777,2010-07-25,46.501133,33.84235,"X36"
776,2010-07-25,46.501667,33.842067,"X36"
771,2010-07-25,46.503667,33.841517,"X36"
772,2010-07-25,46.50405,33.841533,"X36"
773,2010-07-25,46.504333,33.8419,"X36"
774,2010-07-25,46.504683,33.842367,"X36"
775,2010-07-25,46.505783,33.842733,"X36"
789,2003-10-11,46.536374,33.987651,"X36"
935,2004-07-22,46.552786,33.478,"X36"
936,2004-07-22,46.552786,33.478,"X36"
937,2004-07-22,46.552786,33.478,"X36"
938,2004-07-22,46.552786,33.478,"X36"
939,2004-07-22,46.552786,33.478,"X36"
940,2004-07-22,46.552786,33.478,"X36"
941,2004-07-22,46.552786,33.478,"X36"
591,2010-06-19,46.55425,33.478983,"X36"
960,2004-08-12,46.554472,33.467241,"X36"
961,2004-08-12,46.554472,33.467241,"X36"
962,2004-08-12,46.554472,33.467241,"X36"
963,2004-08-12,46.554472,33.467241,"X36"
964,2004-08-12,46.554472,33.467241,"X36"
965,2004-08-12,46.554472,33.467241,"X36"
592,2010-06-19,46.554493,33.478638,"X36"
593,2010-06-19,46.554717,33.47824,"X36"
594,2010-06-19,46.555038,33.477774,"X36"
595,2010-06-19,46.555293,33.477418,"X36"
983,2004-08-12,46.5556,33.48395,"X36"
984,2004-08-12,46.5556,33.48395,"X36"
985,2004-08-12,46.5556,33.48395,"X36"
986,2004-08-12,46.5556,33.48395,"X36"
987,2004-08-12,46.5556,33.48395,"X36"
988,2004-08-12,46.5556,33.48395,"X36"
989,2004-08-12,46.5556,33.48395,"X36"
990,2004-08-12,46.5556,33.48395,"X36"
991,2004-08-12,46.5556,33.48395,"X36"
992,2004-08-12,46.5556,33.48395,"X36"
993,2004-08-12,46.5556,33.48395,"X36"
994,2004-08-12,46.5556,33.48395,"X36"
1001,2004-08-12,46.5556,33.48395,"X36"
1002,2004-08-12,46.5556,33.48395,"X36"
1003,2004-08-12,46.5556,33.48395,"X36"
942,2004-07-22,46.556028,33.473171,"X36"
943,2004-07-22,46.556028,33.473171,"X36"
944,2004-07-22,46.556028,33.473171,"X36"
945,2004-07-22,46.556028,33.473171,"X36"
946,2004-07-22,46.556028,33.473171,"X36"
947,2004-07-22,46.556028,33.473171,"X36"
948,2004-07-22,46.556028,33.473171,"X36"
949,2004-07-22,46.556028,33.473171,"X36"
950,2004-07-22,46.556028,33.473171,"X36"
951,2004-07-22,46.556028,33.473171,"X36"
952,2004-07-22,46.556028,33.473171,"X36"
953,2004-07-22,46.556028,33.473171,"X36"
954,2004-07-22,46.556028,33.473171,"X36"
955,2004-07-22,46.556028,33.473171,"X36"
956,2004-07-22,46.556028,33.473171,"X36"
957,2004-07-22,46.556028,33.473171,"X36"
958,2004-07-22,46.556028,33.473171,"X36"
959,2004-07-22,46.556028,33.473171,"X36"
596,2010-06-19,46.5565,33.480417,"X36"
602,2010-06-19,46.556617,33.4746,"X36"
603,2010-06-19,46.55715,33.474733,"X36"
966,2004-08-12,46.557254,33.472972,"X36"
967,2004-08-12,46.557254,33.472972,"X36"
968,2004-08-12,46.557254,33.472972,"X36"
969,2004-08-12,46.557254,33.472972,"X36"
970,2004-08-12,46.557254,33.472972,"X36"
971,2004-08-12,46.557254,33.472972,"X36"
972,2004-08-12,46.557254,33.472972,"X36"
973,2004-08-12,46.557254,33.472972,"X36"
974,2004-08-12,46.557254,33.472972,"X36"
975,2004-08-12,46.557254,33.472972,"X36"
976,2004-08-12,46.557254,33.472972,"X36"
977,2004-08-12,46.557254,33.472972,"X36"
978,2004-08-12,46.557254,33.472972,"X36"
979,2004-08-12,46.557254,33.472972,"X36"
980,2004-08-12,46.557254,33.472972,"X36"
981,2004-08-12,46.557254,33.472972,"X36"
982,2004-08-12,46.557254,33.472972,"X36"
995,2004-08-12,46.557439,33.474467,"X36"
996,2004-08-12,46.557439,33.474467,"X36"
997,2004-08-12,46.557439,33.474467,"X36"
998,2004-08-12,46.557439,33.474467,"X36"
999,2004-08-12,46.557439,33.474467,"X36"
1000,2004-08-12,46.557439,33.474467,"X36"
601,2010-06-19,46.557638,33.474637,"X36"
597,2010-06-19,46.558233,33.4786,"X36"
598,2010-06-19,46.558342,33.478443,"X36"
599,2010-06-19,46.558467,33.478167,"X36"
600,2010-06-19,46.5585,33.47525,"X36"
605,2010-06-19,46.559233,33.483467,"X36"
604,2010-06-19,46.592133,33.481483,"X36"
563,2010-06-09,46.612917,34.187183,"X36"
587,2010-06-09,46.612967,34.17325,"X36"
588,2010-06-09,46.612977,34.17335,"X36"
589,2010-06-09,46.612987,34.17345,"X36"
590,2010-06-09,46.612997,34.17355,"X36"
564,2010-06-09,46.615783,34.1865,"X36"
565,2010-06-09,46.616024,34.186412,"X36"
566,2010-06-09,46.616276,34.186239,"X36"
567,2010-06-09,46.616593,34.186047,"X36"
568,2010-06-09,46.616877,34.186114,"X36"
569,2010-06-09,46.617142,34.186153,"X36"
570,2010-06-09,46.617446,34.185913,"X36"
571,2010-06-09,46.617678,34.185942,"X36"
572,2010-06-09,46.618015,34.185923,"X36"
573,2010-06-09,46.618286,34.185461,"X36"
574,2010-06-09,46.618533,34.185333,"X36"
801,2004-05-27,46.618698,34.198073,"X36"
802,2004-05-27,46.618698,34.198073,"X36"
803,2004-05-27,46.618698,34.198073,"X36"
804,2004-05-27,46.618698,34.198073,"X36"
805,2004-05-27,46.618698,34.198073,"X36"
806,2004-05-27,46.618698,34.198073,"X36"
807,2004-05-27,46.618698,34.198073,"X36"
808,2004-05-27,46.618698,34.198073,"X36"
809,2004-05-27,46.618698,34.198073,"X36"
810,2004-05-27,46.618698,34.198073,"X36"
811,2004-05-27,46.618698,34.198073,"X36"
812,2004-05-27,46.618698,34.198073,"X36"
575,2010-06-09,46.61904,34.185051,"X36"
576,2010-06-09,46.619252,34.185762,"X36"
586,2010-06-09,46.620266,34.195322,"X36"
585,2010-06-09,46.620626,34.195253,"X36"
584,2010-06-09,46.620843,34.195267,"X36"
583,2010-06-09,46.620939,34.195302,"X36"
582,2010-06-09,46.621059,34.19533,"X36"
581,2010-06-09,46.621334,34.195092,"X36"
580,2010-06-09,46.621618,34.195219,"X36"
579,2010-06-09,46.62184,34.195001,"X36"
578,2010-06-09,46.622162,34.195107,"X36"
577,2010-06-09,46.62235,34.194967,"X36"
834,2004-07-08,46.63998,34.193309,"X36"
835,2004-07-08,46.63998,34.193309,"X36"
836,2004-07-08,46.63998,34.193309,"X36"
837,2004-07-08,46.63998,34.193309,"X36"
838,2004-07-08,46.63998,34.193309,"X36"
839,2004-07-08,46.63998,34.193309,"X36"
840,2004-07-08,46.63998,34.193309,"X36"
841,2004-07-08,46.63998,34.193309,"X36"
