class_ch,object_based,pixel_based
B1,15.45,16.59
В2.2.1,44.53,55.22
В2.2.2,2071.27,2043.95
В3,28.38,18.91
Д1.8,649.47,659.32
С1.1.1,613.38,691.25
С1.1.2,157.88,161.7
С1.1.3,204.32,225.13
С2.1.1а,10737.44,10807.5
С2.1.1б,5066.91,5096.12
С2.1.5,2151.8,2162.44
С3.1,31.5,40.35
С3.2,545.22,486.43
С3.6,3.8,9.94
С4,4.92,3.63
Т1.4,8258.09,8135.09
Т1.4а,2378.95,2455.44
Т1.4б,400.89,347.38
Т3.2,95.03,101.04
